Epoch: 159, Loss: 0.2980, Val: 0.3185, Test: 0.3264
Epoch: 160, Loss: 0.2951, Val: 0.3137, Test: 0.3363
Epoch: 161, Loss: 0.2993, Val: 0.3205, Test: 0.3334
Epoch: 162, Loss: 0.2974, Val: 0.3185, Test: 0.3394
Epoch: 163, Loss: 0.2959, Val: 0.3224, Test: 0.3347
Epoch: 164, Loss: 0.2936, Val: 0.3115, Test: 0.3356
Epoch: 165, Loss: 0.2967, Val: 0.3188, Test: 0.3267
Epoch: 166, Loss: 0.2915, Val: 0.3279, Test: 0.3326
Epoch: 167, Loss: 0.2974, Val: 0.3244, Test: 0.3486
Epoch: 168, Loss: 0.2949, Val: 0.3206, Test: 0.3379
Epoch: 169, Loss: 0.2995, Val: 0.3167, Test: 0.3290
Epoch: 170, Loss: 0.2946, Val: 0.3138, Test: 0.3237
Epoch: 171, Loss: 0.2966, Val: 0.3174, Test: 0.3303
Epoch: 172, Loss: 0.2947, Val: 0.3440, Test: 0.3614
Epoch: 173, Loss: 0.2998, Val: 0.3145, Test: 0.3314
Epoch: 174, Loss: 0.2923, Val: 0.3139, Test: 0.3247
Epoch: 175, Loss: 0.2940, Val: 0.3051, Test: 0.3253
Epoch: 176, Loss: 0.2895, Val: 0.3119, Test: 0.3259
Epoch: 177, Loss: 0.2930, Val: 0.3259, Test: 0.3381
Epoch: 178, Loss: 0.2927, Val: 0.3155, Test: 0.3300
Epoch: 179, Loss: 0.2947, Val: 0.3139, Test: 0.3271
Epoch: 180, Loss: 0.2911, Val: 0.3200, Test: 0.3318
Epoch: 181, Loss: 0.2902, Val: 0.3208, Test: 0.3314
Epoch: 182, Loss: 0.2913, Val: 0.3286, Test: 0.3459
Epoch: 183, Loss: 0.2925, Val: 0.3093, Test: 0.3309
Epoch: 184, Loss: 0.2888, Val: 0.3171, Test: 0.3294
Epoch: 185, Loss: 0.2917, Val: 0.3091, Test: 0.3252
Epoch: 186, Loss: 0.2940, Val: 0.3079, Test: 0.3243
Epoch: 187, Loss: 0.2919, Val: 0.3060, Test: 0.3272
Epoch: 188, Loss: 0.2897, Val: 0.3065, Test: 0.3212
